Epoch 1, 4% 	 train_loss_79_batch: 0.6886 	 took: 3.2930s 
Epoch 1, 5% 	 train_loss_80_batch: 0.7396 	 took: 2.8436s 
Epoch 1, 5% 	 train_loss_81_batch: 1.9374 	 took: 1.9057s 
Epoch 1, 5% 	 train_loss_82_batch: 0.6641 	 took: 1.6580s 
Epoch 1, 5% 	 train_loss_83_batch: 1.0723 	 took: 1.9530s 
Epoch 1, 5% 	 train_loss_84_batch: 0.9690 	 took: 1.8277s 
Epoch 1, 5% 	 train_loss_85_batch: 1.3443 	 took: 2.7548s 
Epoch 1, 5% 	 train_loss_86_batch: 0.8133 	 took: 2.5428s 
Epoch 1, 5% 	 train_loss_87_batch: 1.1335 	 took: 2.8184s 
Epoch 1, 5% 	 train_loss_88_batch: 0.8937 	 took: 2.7035s 
Epoch 1, 5% 	 train_loss_89_batch: 0.7342 	 took: 2.9753s 
Epoch 1, 5% 	 train_loss_90_batch: 1.0218 	 took: 2.8409s 
Epoch 1, 5% 	 train_loss_91_batch: 0.4322 	 took: 1.7640s 
Epoch 1, 5% 	 train_loss_92_batch: 0.8284 	 took: 2.4224s 
Epoch 1, 5% 	 train_loss_93_batch: 0.9490 	 took: 2.3835s 
Epoch 1, 5% 	 train_loss_94_batch: 0.7188 	 took: 2.5548s 
Epoch 1, 5% 	 train_loss_95_batch: 0.7110 	 took: 2.3220s 
Epoch 1, 6% 	 train_loss_96_batch: 0.8302 	 took: 2.9427s 
Epoch 1, 6% 	 train_loss_97_batch: 0.6886 	 took: 2.7883s 
Epoch 1, 6% 	 train_loss_98_batch: 0.5301 	 took: 2.2714s 
Epoch 1, 6% 	 train_loss_99_batch: 0.8396 	 took: 2.6246s 
Epoch 1, 6% 	 train_loss_100_batch: 0.9615 	 took: 2.9446s 
Epoch 1, 6% 	 train_loss_101_batch: 0.8374 	 took: 2.4066s 
Epoch 1, 6% 	 train_loss_102_batch: 1.5493 	 took: 1.6971s 
Epoch 1, 6% 	 train_loss_103_batch: 1.2123 	 took: 2.0211s 
Epoch 1, 6% 	 train_loss_104_batch: 0.8312 	 took: 2.8026s 
Epoch 1, 6% 	 train_loss_105_batch: 0.4981 	 took: 2.4708s 
Epoch 1, 6% 	 train_loss_106_batch: 1.0615 	 took: 3.3328s 
Epoch 1, 6% 	 train_loss_107_batch: 0.9918 	 took: 2.6337s 
Epoch 1, 6% 	 train_loss_108_batch: 1.2317 	 took: 2.8767s 
Epoch 1, 6% 	 train_loss_109_batch: 1.0193 	 took: 2.2902s 
Epoch 1, 6% 	 train_loss_110_batch: 0.8602 	 took: 2.6600s 
Epoch 1, 7% 	 train_loss_111_batch: 1.0137 	 took: 3.5321s 
Epoch 1, 7% 	 train_loss_112_batch: 1.0086 	 took: 3.6899s 
Epoch 1, 7% 	 train_loss_113_batch: 1.3738 	 took: 3.3501s 
Epoch 1, 7% 	 train_loss_114_batch: 0.9866 	 took: 2.4115s 
Epoch 1, 7% 	 train_loss_115_batch: 0.5420 	 took: 2.1640s 
Epoch 1, 7% 	 train_loss_116_batch: 0.9181 	 took: 3.4291s 
Epoch 1, 7% 	 train_loss_117_batch: 0.6868 	 took: 1.7971s 
Epoch 1, 7% 	 train_loss_118_batch: 0.8452 	 took: 2.4182s 
Epoch 1, 7% 	 train_loss_119_batch: 0.6832 	 took: 2.3318s 
Epoch 1, 7% 	 train_loss_120_batch: 0.8091 	 took: 2.1149s 
Epoch 1, 7% 	 train_loss_121_batch: 0.8871 	 took: 1.8091s 
Epoch 1, 7% 	 train_loss_122_batch: 0.5275 	 took: 2.1253s 
Epoch 1, 7% 	 train_loss_123_batch: 0.8208 	 took: 1.5719s 
Epoch 1, 7% 	 train_loss_124_batch: 0.5615 	 took: 3.2486s 
Epoch 1, 7% 	 train_loss_125_batch: 0.8782 	 took: 1.7676s 
Epoch 1, 7% 	 train_loss_126_batch: 0.6279 	 took: 2.2537s 
Epoch 1, 8% 	 train_loss_127_batch: 0.8546 	 took: 3.0196s 
Epoch 1, 8% 	 train_loss_128_batch: 0.9163 	 took: 2.3341s 
Epoch 1, 8% 	 train_loss_129_batch: 1.2746 	 took: 2.9893s 
Epoch 1, 8% 	 train_loss_130_batch: 1.0899 	 took: 2.5412s 
Epoch 1, 8% 	 train_loss_131_batch: 0.7717 	 took: 2.6337s 
Epoch 1, 8% 	 train_loss_132_batch: 1.3048 	 took: 2.0004s 
Epoch 1, 8% 	 train_loss_133_batch: 1.1008 	 took: 2.6290s 
Epoch 1, 8% 	 train_loss_134_batch: 0.8757 	 took: 1.6177s 
Epoch 1, 8% 	 train_loss_135_batch: 0.8324 	 took: 2.0364s 
Epoch 1, 8% 	 train_loss_136_batch: 1.7010 	 took: 1.5472s 
Epoch 1, 8% 	 train_loss_137_batch: 0.6164 	 took: 2.3834s 
Epoch 1, 8% 	 train_loss_138_batch: 0.9627 	 took: 1.8817s 
Epoch 1, 8% 	 train_loss_139_batch: 0.8263 	 took: 2.3810s 
Epoch 1, 8% 	 train_loss_140_batch: 0.7599 	 took: 3.0396s 
Epoch 1, 8% 	 train_loss_141_batch: 1.2860 	 took: 2.1433s 
Epoch 1, 8% 	 train_loss_142_batch: 0.6163 	 took: 2.1134s 
Epoch 1, 9% 	 train_loss_143_batch: 1.6096 	 took: 2.1071s 
Epoch 1, 9% 	 train_loss_144_batch: 1.0067 	 took: 1.7159s 
Epoch 1, 9% 	 train_loss_145_batch: 0.6299 	 took: 1.8527s 
Epoch 1, 9% 	 train_loss_146_batch: 1.1179 	 took: 1.9771s 
Epoch 1, 9% 	 train_loss_147_batch: 1.0413 	 took: 1.5993s 
Epoch 1, 9% 	 train_loss_148_batch: 0.9322 	 took: 1.4703s 
Epoch 1, 9% 	 train_loss_149_batch: 1.0429 	 took: 3.6368s 
Epoch 1, 9% 	 train_loss_150_batch: 1.1246 	 took: 2.5290s 
Epoch 1, 9% 	 train_loss_151_batch: 0.7321 	 took: 3.2758s 
Epoch 1, 9% 	 train_loss_152_batch: 1.0919 	 took: 3.3361s 
Epoch 1, 9% 	 train_loss_153_batch: 0.6114 	 took: 2.6620s 
Epoch 1, 9% 	 train_loss_154_batch: 0.8373 	 took: 3.5347s 
Epoch 1, 9% 	 train_loss_155_batch: 1.0106 	 took: 2.0680s 
Epoch 1, 9% 	 train_loss_156_batch: 0.7753 	 took: 2.6881s 
Epoch 1, 9% 	 train_loss_157_batch: 1.0680 	 took: 2.2714s 
Epoch 1, 9% 	 train_loss_158_batch: 0.6224 	 took: 1.7417s 
Epoch 1, 10% 	 train_loss_159_batch: 0.7179 	 took: 2.1679s 
Epoch 1, 10% 	 train_loss_160_batch: 0.9443 	 took: 1.5457s 
Epoch 1, 10% 	 train_loss_161_batch: 0.5590 	 took: 3.4995s 
Epoch 1, 10% 	 train_loss_162_batch: 0.7043 	 took: 2.1000s 
Epoch 1, 10% 	 train_loss_163_batch: 0.8272 	 took: 2.6800s 
Epoch 1, 10% 	 train_loss_164_batch: 1.0217 	 took: 2.8585s 
Epoch 1, 10% 	 train_loss_165_batch: 0.8268 	 took: 2.3235s 
Epoch 1, 10% 	 train_loss_166_batch: 1.1559 	 took: 2.6686s 
Epoch 1, 10% 	 train_loss_167_batch: 0.9916 	 took: 2.3844s 
Epoch 1, 10% 	 train_loss_168_batch: 0.6615 	 took: 1.8626s 
